Refactoring Type,Percentage,Number
REFACTOR,4.253112033,246
RECODE,0.05186722,3
REENGINEER,0.05186722,3
REWRIT,0.034578147,2
EDIT,2.576071923,149
ADD,0.345781466,20
CHANG,25.69156293,1486
CREAT,7.520746888,435
EXTEND,9.630013831,557
EXTRACT,3.215767635,186
FIX,3.060165975,177
IMPROV,6.293222683,364
INLIN,6.725449516,389
INTRODUC,0.501383126,29
MERG,1.78077455,103
MOV,2.230290456,129
REPACKAG,3.699861687,214
REDESIGN,0.017289073,1
REDUC,0.172890733,10
REFIN,2.29944675,133
REMOV,0.363070539,21
RENAM,9.837482711,569
REORGANIZ,2.04011065,118
REPLAC,0.086445367,5
RESTRUCTUR,3.526970954,204
SPLIT,1.607883817,93
CHANGTHENAME,0.05186722,3
CLEANUPCODE,0.069156293,4
CLEANUP,1.227524205,71
CODECLEAN,0.224757953,13
CODEOPTIMIZATION,0.017289073,1
FIXCODESTYLE,0.10373444,6
IMPROVCODEQUALITY,0.034578147,2
PULLUP,0.121023513,7
PUSHDOWN,0.414937759,24
SIMPLIFYCODE,0.121023513,7
